"subjectID","structureID","nodeID","ad","ad_sd","ad_inverse_mean","ad_inverse_sd","fa","fa_sd","fa_inverse_mean","fa_inverse_sd","md","md_sd","md_inverse_mean","md_inverse_sd","rd","rd_sd","rd_inverse_mean","rd_inverse_sd","ndi","ndi_sd","ndi_inverse_mean","ndi_inverse_sd","isovf","isovf_sd","isovf_inverse_mean","isovf_inverse_sd","odi","odi_sd","odi_inverse_mean","odi_inverse_sd","x_coords","y_coords","z_coords","Timepoint","tags","datatype_tags"
"R001","ROIrhlgnROIparc203",64,1.27909581,"0.04262671","0.783893149","0.026919021",0.281018023,"0.028468473","3.720811064","0.386926921",0.970534266,"0.039201096","1.035476585","0.039478034",0.81625353,"0.047670764","1.239512759","0.069381916",0.498905485,"0.031138418","2.023781467","0.117809157",0.065742062,"0.023922402","14.07526143","8.362197094",0.196782672,"0.032241173","6.013736547","1.658565618","30.28801141","-56.85937396","15.39002841","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",65,1.292942588,"0.046967926","0.775785901","0.029207256",0.282754614,"0.028246529","3.68441626","0.377475904",0.978631704,"0.042303914","1.027678834","0.042271463",0.821476286,"0.049938506","1.232662299","0.072102168",0.503063259,"0.033229425","2.008856037","0.125028708",0.075669961,"0.019031432","13.90985951","6.314755603",0.200131661,"0.02693235","5.655041406","1.251277581","30.3335655","-57.50209667","15.33047915","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",66,1.306847799,"0.050831732","0.767777728","0.031394355",0.282423925,"0.028740514","3.673587404","0.382298392",0.988797802,"0.044766584","1.017591303","0.044979492",0.829772812,"0.052105318","1.220671642","0.075192629",0.50389884,"0.033984956","2.005439581","0.128510733",0.083895408,"0.014202446","13.50675879","5.1280731",0.203141956,"0.025993539","5.347305371","0.907022213","30.39409944","-58.13916276","15.23694832","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",67,1.318237141,"0.054186959","0.761369006","0.033369979",0.279167124,"0.028838642","3.699312952","0.385667747",0.999937273,"0.045826505","1.006248739","0.046485168",0.840787332,"0.052501278","1.20381858","0.076018015",0.502012398,"0.032690984","2.011755834","0.124816173",0.089906378,"0.012217374","12.74246204","4.224223522",0.2055347,"0.027627994","5.153401944","0.696197266","30.47635251","-58.76664327","15.10819212","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",68,1.320165364,"0.056059256","0.760534095","0.034643433",0.273870415,"0.028285722","3.752735315","0.382951329",1.006021471,"0.043708081","0.999610999","0.044973843",0.84894951,"0.049175242","1.190064026","0.071985832",0.500892434,"0.030922797","2.014254308","0.118082497",0.092886712,"0.010876866","12.10885387","3.223669177",0.209025893,"0.029032794","5.017823964","0.628514976","30.58363224","-59.38413638","14.9449922","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",69,1.309138853,"0.056663834","0.76737389","0.035344091",0.267216405,"0.026244841","3.82829787","0.367690975",1.003846969,"0.039908846","1.001365444","0.04132419",0.851201011,"0.043024841","1.184783675","0.062834726",0.502840646,"0.028390791","2.005203019","0.108177841",0.093220931,"0.010438029","11.90755697","2.550161909",0.215320523,"0.028472003","4.853283223","0.587783236","30.71373686","-59.99014209","14.75035167","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",70,1.28544296,"0.058171738","0.782106913","0.036979317",0.261066409,"0.024267831","3.906047097","0.353620193",0.991870541,"0.037739228","1.013444281","0.039579951",0.845084321,"0.038030911","1.192088353","0.055344007",0.509484846,"0.026323371","1.977977138","0.099445432",0.091026729,"0.010969859","12.98624246","6.398035265",0.224541568,"0.02774731","4.646383362","0.554714754","30.8661687","-60.58186242","14.5292436","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",71,1.25127633,"0.059930341","0.804128569","0.039110649",0.255067605,"0.023026769","3.993144436","0.343953845",0.972185486,"0.03828175","1.034439312","0.041006497",0.832640055,"0.036491586","1.209860959","0.053785422",0.519550869,"0.024457755","1.938680018","0.090762241",0.086317092,"0.012766819","17.2738217","19.46255525",0.237353447,"0.027996812","4.388306883","0.532691222","31.03252633","-61.16109355","14.28555067","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",72,1.212951439,"0.059008352","0.829732248","0.039977555",0.249819484,"0.022436209","4.073281796","0.339129349",0.948754736,"0.038283363","1.060026267","0.042183298",0.816656379,"0.035984243","1.233262457","0.054819493",0.529280603,"0.023553074","1.90191124","0.084725307",0.078546826,"0.014670226","26.96894531","44.57217151",0.25185593,"0.029098023","4.123583831","0.504152232","31.2087575","-61.72486387","14.01463227","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",73,1.177916773,"0.05338361","0.853836176","0.037818406",0.245701852,"0.022154522","4.140727688","0.340946722",0.926814448,"0.03586567","1.084398628","0.040390601",0.801263283,"0.034920524","1.256050605","0.054282417",0.53808669,"0.023267647","1.870021432","0.080851495",0.070538543,"0.017119879","41.6124657","73.96213778",0.266153761,"0.029092327","3.883922662","0.46183532","31.39553766","-62.26996938","13.71118172","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
